cat,min_r_ab,epsA0,epsAf,dEpsA,epsB0,epsBf,dEpsB,aA0,aAf,eA0,eAf,aB0,aBf,eB0,eBf,A_bef,A_aft,B_bef,B_aft,e_drift_scan,m_B,v_inf,b_impact,incoming_angle,A_phase,score
no_encounter,0.7755687850950485,-0.5189588803879908,-0.5994680541340585,-0.0805091737460677,0.11457473567844897,0.11671285054412582,0.002138114865676846,0.9644309383930566,0.8349068754347226,0.041523801455287834,0.1545682622429919,-4.538522362027232,-4.455379142705479,1.017972597033977,1.016144950303302,True,True,False,False,6.603110609946715e-09,0.04,0.45,-0.6,0.8,0.0,-1.0
no_encounter,0.9989689344503195,-0.4822860407377205,-0.5236266371433711,-0.041340596405650576,0.11552727696806639,0.11651029095994689,0.0009830139918804992,1.0377658852294767,0.9558337267379333,0.04161791442258848,0.11971198404911522,-4.501101503013323,-4.463125065740004,1.0181442947738348,1.016532225524697,True,True,False,False,2.648254343881329e-09,0.04,0.45,-0.6,0.8,1.5,-1.0
no_encounter,0.9924959643574205,-0.47786133226587957,-0.4263450060669162,0.05151632619896335,0.1156422044608415,0.11319333640877283,-0.0024488680520686756,1.0473749730424398,1.1739318928985998,0.04780280080566422,0.11656879106941026,-4.496628219985907,-4.5939099994555725,1.019124253271065,1.018775893429924,True,True,False,False,3.5888211431084225e-09,0.04,0.45,-0.6,0.8,3.0,-1.0
ejection,0.09445014366515146,-0.5139081889251633,2.2588212512889654,2.7727294402141287,0.11470592246969125,0.04236250745010545,-0.0723434150195858,0.9739093689999248,-0.22157574430220917,0.03538153176276108,4.260612150401045,-4.5333317478650645,-12.27500521805646,1.0190836930975105,1.0072955844231306,True,False,False,False,2.9951260854355578e-09,0.04,0.45,-0.6,0.8,4.5,10.322380165223686
no_encounter,0.8883689244305885,-0.49963749999999996,-0.5695048034039697,-0.06986730340396974,0.11507658971450072,0.11633147761318771,0.001254887898686996,1.0017262515323608,0.8788336762191938,0.026925824035672067,0.12931442371009894,-4.518729667694307,-4.469985344199317,1.0192814510941486,1.0171592201094897,True,True,False,False,4.717788923399115e-09,0.04,0.45,0.6,0.0,0.0,-1.0
no_encounter,1.014279843420663,-0.47277081507769914,-0.4160231325869853,0.056747682490713824,0.11577442568650853,0.11342775301200181,-0.0023466726745067223,1.0586524887703646,1.2030581013313042,0.05543381032609023,0.10999434744636509,-4.491492805224918,-4.5844159492869325,1.0187879390666092,1.0209853176715658,True,True,False,False,6.725278610067669e-09,0.04,0.45,0.6,0.0,1.5,-1.0
perturbation,0.22197974550745667,-0.49583655178101727,-0.5940097895985136,-0.09817323781749632,0.11517531564226652,0.11749343054991185,0.00231811490764533,1.0094052126698443,0.8425787062167508,0.028090658035131062,0.2555825895734101,-4.514856304931825,-4.425779361162675,1.0179078121478384,1.0146264579856337,True,True,False,False,5.879246581891753e-09,0.04,0.45,0.6,0.0,3.0,1.0009364421312215
perturbation,0.2497515119867036,-0.5259664480409116,-0.8060869171464116,-0.2801204691054999,0.11439272093421729,0.12182103440335787,0.0074283134691405794,0.9515816110784868,0.6209007854535032,0.05121282402091983,0.47127856902909265,-4.545743782937302,-4.26855676071707,1.0182664829331112,1.0204470821759342,True,True,False,False,7.772659484668138e-09,0.04,0.45,0.6,0.0,4.5,1.7659466830961732
no_encounter,0.8167058811158171,-0.5189588803879908,-0.6473650672787339,-0.12840618689074312,0.11457473567844897,0.11899512729680008,0.004420391618351102,0.9644309383930566,0.7731340866196311,0.041523801455287834,0.18597009139559453,-4.538522362027232,-4.369926834928336,1.0189449569108175,1.0209290001538893,True,True,False,False,3.178353661280341e-09,0.04,0.45,0.6,0.8,0.0,-1.0
no_encounter,0.9450441359087789,-0.4822860407377203,-0.5078350480133558,-0.02554900727563547,0.11552727696806639,0.11559522625189708,6.794928383069276e-05,1.037765885229477,0.9855562390936773,0.04161791442259381,0.07702031932618851,-4.501101503013323,-4.49845566171437,1.0192224817111653,1.015562018261773,True,True,False,False,4.1625871456248065e-09,0.04,0.45,0.6,0.8,1.5,-1.0
no_encounter,0.922060657464502,-0.47786133226587957,-0.3172006695208397,0.16066066274503987,0.1156422044608415,0.11111984759754584,-0.004522356863295662,1.0473749730424398,1.5778655220244349,0.04780280080566422,0.3067277143406702,-4.496628219985907,-4.679632048122829,1.0182936525094226,1.0152323599812714,True,True,False,False,3.557060347764153e-09,0.04,0.45,0.6,0.8,3.0,-1.0
